person_id;household_id;activity_index;iris_id;commune_id;departement_id;region_id;preceding_trip_index;following_trip_index;purpose;start_time;end_time;is_first;is_last
989;514;0;751187203;75118;75;11;-1;0;home;;50316.0;True;False
989;514;1;751187207;75118;75;11;0;1;leisure;50916.0;53916.0;False;False
989;514;2;751197608;75119;75;11;1;2;leisure;56616.0;56616.0;False;False
989;514;3;751187203;75118;75;11;2;-1;home;59316.0;;False;True
1272;669;0;751208002;75120;75;11;-1;0;home;;57169.0;True;False
1272;669;1;930480101;93048;93;11;0;1;shop;57769.0;60769.0;False;False
1272;669;2;751208002;75120;75;11;1;-1;home;61669.0;;False;True
1273;669;0;751208002;75120;75;11;-1;0;home;;31524.0;True;False
1273;669;1;774490000;77449;77;11;0;1;work;36024.0;67524.0;False;False
1273;669;2;751208002;75120;75;11;1;-1;home;72024.0;;False;True
1297;681;0;751124616;75112;75;11;-1;0;home;;29442.0;True;False
1297;681;1;751083201;75108;75;11;0;1;work;32442.0;44142.0;False;False
1297;681;2;751093409;75109;75;11;1;2;leisure;44742.0;48342.0;False;False
1297;681;3;751083201;75108;75;11;2;3;work;48942.0;64242.0;False;False
1297;681;4;751124616;75112;75;11;3;-1;home;66942.0;;False;True
1298;681;0;751124616;75112;75;11;-1;0;home;;49749.0;True;False
1298;681;1;940810312;94081;94;11;0;1;leisure;52449.0;64149.0;False;False
1298;681;2;920490110;92049;92;11;1;2;work;65949.0;73149.0;False;False
1298;681;3;751124616;75112;75;11;2;-1;home;74949.0;;False;True
5516;3065;0;751176501;75117;75;11;-1;0;home;;28625.0;True;False
5516;3065;1;940790103;94079;94;11;0;1;other;30425.0;31025.0;False;False
5516;3065;2;913770114;91377;91;11;1;2;work;31625.0;64625.0;False;False
5516;3065;3;920020203;92002;92;11;2;3;other;65225.0;65825.0;False;False
5516;3065;4;751176501;75117;75;11;3;-1;home;67925.0;;False;True
8841;4857;0;751187101;75118;75;11;-1;0;home;;27870.0;True;False
8841;4857;1;751186904;75118;75;11;0;1;education;31470.0;56670.0;False;False
8841;4857;2;751187101;75118;75;11;1;-1;home;60270.0;;False;True
11857;6512;0;751208003;75120;75;11;-1;0;home;;64147.0;True;False
11857;6512;1;751114410;75111;75;11;0;1;shop;65047.0;66247.0;False;False
11857;6512;2;751208003;75120;75;11;1;-1;home;67447.0;;False;True
11858;6512;0;751208003;75120;75;11;-1;0;home;;34071.0;True;False
11858;6512;1;940430107;94043;94;11;0;1;work;37671.0;48471.0;False;False
11858;6512;2;940430107;94043;94;11;1;2;work;52071.0;62871.0;False;False
11858;6512;3;751041599;75104;75;11;2;3;shop;65571.0;69171.0;False;False
11858;6512;4;751208003;75120;75;11;3;-1;home;71871.0;;False;True
12445;6804;0;751156016;75115;75;11;-1;0;home;;30349.0;True;False
12445;6804;1;920400301;92040;92;11;0;1;work;31549.0;67549.0;False;False
12445;6804;2;920730103;92073;92;11;1;2;shop;69349.0;72949.0;False;False
12445;6804;3;751156016;75115;75;11;2;-1;home;74749.0;;False;True
18912;10344;0;751103909;75110;75;11;-1;0;home;;33988.0;True;False
18912;10344;1;751103909;75110;75;11;0;1;shop;34288.0;35188.0;False;False
18912;10344;2;751103909;75110;75;11;1;-1;home;35488.0;;False;True
22609;12477;0;751166409;75116;75;11;-1;0;home;;29196.0;True;False
