household_id;iris_id;commune_id;departement_id;region_id;car_availability;bike_availability;use_motorcycle;number_of_vehicles;number_of_bikes;income;census_household_id
514;751187203;75118;75;11.0;none;none;False;0;0;2739.8315756448096;158
669;751208002;75120;75;11.0;none;none;False;0;0;3661.996525075123;198
681;751124616;75112;75;11.0;none;all;False;0;3;268.89032843518055;204
3065;751176501;75117;75;11.0;none;all;False;1;2;3155.922226240877;961
4857;751187101;75118;75;11.0;none;none;False;0;0;1084.5700965560309;1537
6512;751208003;75120;75;11.0;none;none;False;0;0;4588.839445351951;2071
6804;751156016;75115;75;11.0;none;all;False;0;1;1078.4729459195594;2167
10344;751103909;75110;75;11.0;none;none;False;0;0;740.9084128837352;3300
12477;751166409;75116;75;11.0;all;none;False;1;0;5325.8344137711565;3976
12874;751135202;75113;75;11.0;none;none;False;0;0;2506.8521064884567;4098
13854;751114410;75111;75;11.0;none;some;False;0;1;7366.218393487793;4410
14788;751145503;75114;75;11.0;none;none;False;0;0;6858.141568274117;4716
15438;751197514;75119;75;11.0;none;none;False;0;0;4130.101839161874;4923
16734;751155907;75115;75;11.0;none;none;False;0;0;1785.367038609626;5339
17363;751155721;75115;75;11.0;none;none;False;0;0;3538.3004854526134;5529
19048;751197304;75119;75;11.0;none;none;False;0;0;2523.9498046553063;6056
19075;751031202;75103;75;11.0;none;none;False;0;0;2266.866746752096;6064
19297;751156006;75115;75;11.0;none;none;False;0;0;4958.515262073784;6136
19377;751155711;75115;75;11.0;none;none;False;0;0;1353.5900887219007;6164
20470;751103804;75110;75;11.0;none;all;False;0;2;1781.0103737307882;6518
20623;751145607;75114;75;11.0;all;none;False;1;0;2481.668938155168;6565
23208;751124577;75112;75;11.0;all;all;False;1;5;296.349369094081;7409
23436;751197518;75119;75;11.0;some;none;False;1;0;1728.8785751600317;7489
24973;751135026;75113;75;11.0;none;none;False;0;0;1147.397827997773;7978
27274;751103806;75110;75;11.0;none;all;False;0;1;1391.3566183642135;8706
27334;751187018;75118;75;11.0;none;none;False;0;0;2151.1118188816436;8723
27566;751186922;75118;75;11.0;none;none;False;0;0;8673.436151761045;8805
27578;751124802;75112;75;11.0;some;none;False;1;0;3647.6319806553847;8808
29059;751155802;75115;75;11.0;all;all;False;1;2;5510.506821298547;9274
29092;751114101;75111;75;11.0;none;none;False;0;0;604.8063792893828;9286
29686;751208006;75120;75;11.0;none;none;False;0;0;4106.82074349082;9482
30709;751135007;75113;75;11.0;all;none;False;1;0;3859.6979941147247;9803
34741;751124506;75112;75;11.0;some;none;False;1;0;3382.397278365166;11073
35212;751166106;75116;75;11.0;none;none;False;0;0;6242.523127311154;11220
35392;751166301;75116;75;11.0;none;none;False;0;0;10985.231956726719;11282
35575;751187006;75118;75;11.0;none;none;False;0;0;4176.367327685141;11344
36290;751187204;75118;75;11.0;none;none;False;0;0;402.4588547143428;11574
37369;751187110;75118;75;11.0;none;none;False;0;0;1701.988952473805;11916
38252;751186926;75118;75;11.0;all;all;False;1;3;3108.218817607852;12201
39022;751207714;75120;75;11.0;none;none;False;0;0;9446.045315896321;12444
41633;751072601;75107;75;11.0;none;none;False;0;0;5997.640786618205;13275
