person_id;household_id;age;employed;sex;socioprofessional_class;has_driving_license;has_pt_subscription;census_person_id;hts_id
989;514;72;False;male;7;False;True;307;1413
1272;669;40;True;male;3;False;True;380;1204
1273;669;36;True;female;3;True;True;381;2254
1297;681;51;True;male;2;True;True;390;2399
1298;681;57;True;male;5;False;True;391;1889
5516;3065;39;True;male;4;True;False;1734;4150
8841;4857;24;False;female;8;False;False;2783;2131
11857;6512;13;False;male;8;False;False;3750;6346
11858;6512;42;True;female;6;False;True;3751;2354
12445;6804;28;True;male;3;False;True;3941;1888
18912;10344;65;True;female;4;False;True;5972;2461
22609;12477;44;True;male;3;True;True;7131;882
23328;12874;25;False;female;8;True;True;7352;2074
23329;12874;61;True;female;5;False;True;7353;5113
25154;13854;12;False;female;8;False;False;7922;1930
25155;13854;10;False;female;8;False;False;7923;14607
25156;13854;43;True;female;4;True;False;7924;501
25157;13854;51;True;male;4;True;False;7925;6900
26947;14788;56;True;female;4;False;False;8510;2012
26948;14788;24;False;male;8;True;True;8511;754
26949;14788;21;False;male;8;False;True;8512;15076
26950;14788;29;False;female;8;True;True;8513;841
26951;14788;62;False;male;7;True;True;8514;1305
28150;15438;54;True;female;5;False;True;8890;427
30397;16734;28;True;male;4;True;True;9621;5817
31592;17363;88;False;female;7;True;False;9975;452
31593;17363;59;True;female;3;False;False;9976;2280
34756;19048;29;True;male;3;True;True;10970;1750
34757;19048;30;True;female;3;True;True;10971;2254
34796;19075;60;False;female;8;False;True;10982;2461
35209;19297;43;False;female;8;True;False;11114;460
35210;19297;7;False;female;8;False;False;11115;1410
35211;19297;52;False;male;8;True;False;11116;7141
35341;19377;21;False;male;8;False;True;11162;15076
37467;20470;59;True;male;3;False;False;11826;2435
37806;20623;81;False;male;7;True;False;11929;1087
42648;23208;47;True;male;4;True;False;13505;14704
43019;23436;79;False;female;7;True;False;13634;14411
43020;23436;28;False;male;8;False;True;13635;10953
43021;23436;54;True;male;5;True;True;13636;4455
45803;24973;30;True;male;4;True;True;14530;4115
49981;27274;69;False;male;7;True;True;15848;2362
50059;27334;88;False;male;7;True;False;15870;2958
50500;27566;19;False;female;8;True;True;16028;2477
50501;27566;27;True;male;3;False;True;16029;6751
50502;27566;50;True;female;3;True;True;16030;2202
50523;27578;87;False;male;7;True;False;16034;4429
50524;27578;90;False;female;7;True;False;16035;2742
53138;29059;12;False;female;8;False;False;16855;11532
